date,id,name,items,total_list_size
01/03/2019,Y59,SOUTH EAST COMMISSIONING REGION,168725,9324725
01/03/2019,Y60,MIDLANDS COMMISSIONING REGION,215256,11127869
01/03/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,144466,6883909
01/03/2019,Y62,NORTH WEST COMMISSIONING REGION,164084,7504267
01/03/2019,Y58,SOUTH WEST COMMISSIONING REGION,139134,5824404
01/04/2019,Y56,LONDON COMMISSIONING REGION,113697,10062815
01/04/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,158331,9003181
01/04/2019,Y59,SOUTH EAST COMMISSIONING REGION,165306,9330613
01/04/2019,Y60,MIDLANDS COMMISSIONING REGION,211347,11134967
01/04/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,142070,6888811
01/04/2019,Y62,NORTH WEST COMMISSIONING REGION,161747,7509548
01/04/2019,Y58,SOUTH WEST COMMISSIONING REGION,135224,5828715
01/05/2019,Y56,LONDON COMMISSIONING REGION,121139,10082115
01/05/2019,Y59,SOUTH EAST COMMISSIONING REGION,172629,9336102
01/05/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,166917,9005477
01/05/2019,Y60,MIDLANDS COMMISSIONING REGION,224227,11141166
01/05/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,149726,6893111
01/05/2019,Y62,NORTH WEST COMMISSIONING REGION,171590,7513782
01/05/2019,Y58,SOUTH WEST COMMISSIONING REGION,143300,5832593
01/06/2019,Y56,LONDON COMMISSIONING REGION,111121,10101923
01/06/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,153892,9007147
01/06/2019,Y59,SOUTH EAST COMMISSIONING REGION,159786,9342452
01/06/2019,Y60,MIDLANDS COMMISSIONING REGION,206564,11147881
01/06/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,138050,6899346
01/06/2019,Y62,NORTH WEST COMMISSIONING REGION,155864,7518893
01/06/2019,Y58,SOUTH WEST COMMISSIONING REGION,132518,5836413
01/07/2019,Y56,LONDON COMMISSIONING REGION,118670,10119444
01/07/2019,Y59,SOUTH EAST COMMISSIONING REGION,163429,9349320
01/07/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,158092,9009049
01/07/2019,Y60,MIDLANDS COMMISSIONING REGION,213391,11154319
01/07/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,142661,6905735
01/07/2019,Y62,NORTH WEST COMMISSIONING REGION,164587,7523105
01/07/2019,Y58,SOUTH WEST COMMISSIONING REGION,132576,5839268
01/08/2019,Y56,LONDON COMMISSIONING REGION,115918,10141919
01/08/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,166135,9011403
01/08/2019,Y59,SOUTH EAST COMMISSIONING REGION,173203,9357428
01/08/2019,Y60,MIDLANDS COMMISSIONING REGION,223659,11160517
01/08/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,148380,6914557
01/08/2019,Y62,NORTH WEST COMMISSIONING REGION,168883,7528327
01/08/2019,Y58,SOUTH WEST COMMISSIONING REGION,144574,5842583
01/09/2019,Y56,LONDON COMMISSIONING REGION,111884,10158323
01/09/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,154618,9014470
01/09/2019,Y59,SOUTH EAST COMMISSIONING REGION,161552,9365584
01/09/2019,Y60,MIDLANDS COMMISSIONING REGION,209109,11167419
01/09/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,139114,6920595
01/09/2019,Y62,NORTH WEST COMMISSIONING REGION,158904,7532454
01/09/2019,Y58,SOUTH WEST COMMISSIONING REGION,134616,5846320
01/10/2019,Y56,LONDON COMMISSIONING REGION,120589,10181822
01/10/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,164552,9036072
01/10/2019,Y59,SOUTH EAST COMMISSIONING REGION,172885,9383051
01/10/2019,Y60,MIDLANDS COMMISSIONING REGION,223265,11194076
01/10/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,148028,6923803
01/10/2019,Y62,NORTH WEST COMMISSIONING REGION,169866,7548792
01/10/2019,Y58,SOUTH WEST COMMISSIONING REGION,143382,5854890
01/11/2019,Y56,LONDON COMMISSIONING REGION,112777,10213538
01/11/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,154983,9049182
01/11/2019,Y59,SOUTH EAST COMMISSIONING REGION,163064,9395040
01/11/2019,Y60,MIDLANDS COMMISSIONING REGION,210597,11209692
01/11/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,140974,6932281
01/11/2019,Y62,NORTH WEST COMMISSIONING REGION,159531,7560393
01/11/2019,Y58,SOUTH WEST COMMISSIONING REGION,135509,5863157
